OBJECTID,ResidencyByState,FishingYear,FisheryGroup,PermitHolders,PermitsIssued,FishermenWhoFished,PermitsFished,EstimatedGrossEarnings,EarningsConfidentialityIfNoData,TotalPoundsLanded,PoundsConfidentialityIfNoData,PoundsExclConfidentialData,EarningsExclConfidentialData,PeopleExclConfidentialData,PermitsExclConfidentialData,AsOfDate
189,California,2017,Other Shellfish,27,37,11,15,317411,,209823,,,,,,2019/04/18 08:00:00+00
190,California,2017,Sablefish,8,8,7,8,,Yes,,Yes,243918,1118352,5,5,2019/04/18 08:00:00+00
191,California,2017,Salmon,214,219,164,164,16572940,,16024555,,,,,,2019/04/18 08:00:00+00
192,California,2016,All Fisheries Combined,272,319,199,222,37184413,,160530013,,,,,,2018/04/01 08:00:00+00
193,California,2016,Crab,5,7,4,4,2298449,,859591,,,,,,2018/04/01 08:00:00+00
194,California,2016,Halibut,16,16,15,15,1427020,,291394,,,,,,2018/04/01 08:00:00+00
195,California,2016,Herring,14,15,2,2,,X,,X,,,,,2018/04/01 08:00:00+00
196,California,2016,Other Groundfish,10,12,8,11,21069659,,146741631,,,,,,2018/04/01 08:00:00+00
197,California,2016,Other Shellfish,24,36,12,17,451075,,361540,,,,,,2018/04/01 08:00:00+00
198,California,2016,Sablefish,7,7,5,5,883355,,227830,,,,,,2018/04/01 08:00:00+00
199,California,2016,Salmon,220,226,167,168,11026037,,12012688,,,,,,2018/04/01 08:00:00+00
200,California,2015,All Fisheries Combined,280,324,203,229,27840523,,93091264,,,,,,2018/04/01 08:00:00+00
201,California,2015,Crab,5,8,4,5,3775320,,1429349,,,,,,2018/04/01 08:00:00+00
202,California,2015,Halibut,15,15,13,13,1373378,,292196,,,,,,2018/04/01 08:00:00+00
203,California,2015,Herring,13,14,2,2,,X,,X,,,,,2018/04/01 08:00:00+00
204,California,2015,Other Groundfish,8,9,6,7,11422585,,71217829,,,,,,2018/04/01 08:00:00+00
205,California,2015,Other Shellfish,27,38,13,20,503154,,516030,,,,,,2018/04/01 08:00:00+00
206,California,2015,Sablefish,9,9,7,7,,X,,X,293034,1024955,5,5,2018/04/01 08:00:00+00
207,California,2015,Salmon,228,231,175,175,9521517,,18563999,,,,,,2018/04/01 08:00:00+00
208,California,2014,All Fisheries Combined,273,324,208,227,43267858,,139567047,,,,,,2018/04/01 08:00:00+00
209,California,2014,Crab,5,8,2,3,,X,,X,,,,,2018/04/01 08:00:00+00
210,California,2014,Halibut,16,16,13,13,,X,,X,198441,983414,12,12,2018/04/01 08:00:00+00
211,California,2014,Herring,14,15,1,2,,X,,X,,,,,2018/04/01 08:00:00+00
212,California,2014,Other Groundfish,12,13,8,8,19261921,,121217164,,,,,,2018/04/01 08:00:00+00
213,California,2014,Other Shellfish,24,36,10,14,317911,,327717,,,,,,2018/04/01 08:00:00+00
214,California,2014,Sablefish,8,9,8,8,,X,,X,209704,711741,5,5,2018/04/01 08:00:00+00
215,California,2014,Salmon,224,227,181,179,17544135,,16114125,,,,,,2018/04/01 08:00:00+00
216,California,2013,All Fisheries Combined,280,336,202,224,39413380,,132110531,,,,,,2018/04/01 08:00:00+00
217,California,2013,Crab,4,7,3,5,,X,,X,,,,,2018/04/01 08:00:00+00
218,California,2013,Halibut,16,17,14,14,1692824,,446125,,,,,,2018/04/01 08:00:00+00
219,California,2013,Herring,13,14,1,1,,X,,X,,,,,2018/04/01 08:00:00+00
220,California,2013,Other Groundfish,16,19,12,12,19416703,,115318823,,,,,,2018/04/01 08:00:00+00
221,California,2013,Other Shellfish,26,40,12,16,492089,,315209,,,,,,2018/04/01 08:00:00+00
222,California,2013,Sablefish,7,8,7,8,,X,,X,325918,889816,5,5,2018/04/01 08:00:00+00
223,California,2013,Salmon,227,231,168,168,14304571,,14799095,,,,,,2018/04/01 08:00:00+00
224,California,2012,All Fisheries Combined,274,332,202,226,32214539,,107875198,,,,,,2018/04/01 08:00:00+00
225,California,2012,Crab,4,6,3,4,,X,,X,,,,,2018/04/01 08:00:00+00
226,California,2012,Halibut,15,16,12,12,1101727,,248898,,,,,,2018/04/01 08:00:00+00
227,California,2012,Herring,12,13,1,2,,X,,X,,,,,2018/04/01 08:00:00+00
228,California,2012,Other Groundfish,15,18,11,12,15541001,,93750386,,,,,,2018/04/01 08:00:00+00
229,California,2012,Other Shellfish,28,43,12,16,641608,,319457,,,,,,2018/04/01 08:00:00+00
230,California,2012,Sablefish,7,8,7,7,,X,,X,284962,1052893,5,5,2018/04/01 08:00:00+00
231,California,2012,Salmon,220,228,169,173,12802614,,13087865,,,,,,2018/04/01 08:00:00+00
232,California,2011,All Fisheries Combined,288,347,213,234,32739622,,110393991,,,,,,2018/04/01 08:00:00+00
