X,Y,OBJECTID,CommunityName,EntityName,GradCount,DataYear,AsOfDate,SchoolDistrict,Shape
-18008216.1993446,8580524.84134851,187,Bethel,Bethel Youth Facility,1,2017,2018/01/17 09:00:00+00,Lower Kuskokwim Schools,
-18008216.1993446,8580524.84134851,188,Bethel,Bethel Youth Facility,0,2016,2017/02/21 09:00:00+00,Lower Kuskokwim Schools,
-18008216.1993446,8580524.84134851,189,Bethel,Bethel Youth Facility,1,2013,2014/01/22 09:00:00+00,Lower Kuskokwim Schools,
-18008216.1993446,8580524.84134851,190,Bethel,Bethel Youth Facility,1,2015,2016/03/09 09:00:00+00,Lower Kuskokwim Schools,
-18008216.1993446,8580524.84134851,191,Bethel,Bethel Youth Facility,2,2014,2015/01/23 09:00:00+00,Lower Kuskokwim Schools,
-17833161.9318953,9015482.37040336,192,Anvik,Blackwell School,0,2015,2016/03/09 09:00:00+00,Iditarod Area Schools,
-17833161.9318953,9015482.37040336,193,Anvik,Blackwell School,0,2013,2014/01/22 09:00:00+00,Iditarod Area Schools,
-17833161.9318953,9015482.37040336,194,Anvik,Blackwell School,0,2014,2015/01/23 09:00:00+00,Iditarod Area Schools,
-17833161.9318953,9015482.37040336,195,Anvik,Blackwell School,1,2016,2017/02/21 09:00:00+00,Iditarod Area Schools,
-17833161.9318953,9015482.37040336,196,Anvik,Blackwell School,0,2017,2018/01/17 09:00:00+00,Iditarod Area Schools,
-18533351.1813931,9696709.24691214,197,Brevig Mission,Brevig Mission School,11,2017,2018/01/17 09:00:00+00,Bering Strait Schools,
-18533351.1813931,9696709.24691214,198,Brevig Mission,Brevig Mission School,5,2016,2017/02/21 09:00:00+00,Bering Strait Schools,
-18533351.1813931,9696709.24691214,199,Brevig Mission,Brevig Mission School,6,2014,2015/01/23 09:00:00+00,Bering Strait Schools,
-18533351.1813931,9696709.24691214,200,Brevig Mission,Brevig Mission School,4,2013,2014/01/22 09:00:00+00,Bering Strait Schools,
-18533351.1813931,9696709.24691214,201,Brevig Mission,Brevig Mission School,5,2015,2016/03/09 09:00:00+00,Bering Strait Schools,
-17477736.3132464,8122916.86632459,202,Naknek,Bristol Bay Correspondence,0,2015,2016/03/09 09:00:00+00,Bristol Bay Borough Schools,
