X,Y,CommunityName,HFRetailGal,EntityName,ReportingPeriod,ReportingYear,AsOfDate,OBJECTID,ReportingSeason,ReportingDate
90121.6496562936,1691441.77576932,Tanana,4.25,Tanana Tribal Council,Jan,2018,,186,Winter,2018/01/15 09:00:00+00
-574543.17179758,1754008.50735403,Teller,5.46,Teller Native Fuel Business,Jan,2018,,187,Winter,2018/01/15 09:00:00+00
1326319.36788725,846815.094827237,Thorne Bay,3.17,Petro Marine,Jan,2018,,188,Winter,2018/01/15 09:00:00+00
-364120.520402744,1024741.77608156,Togiak,5.25,Togiak Natives Limited,Jan,2018,,189,Winter,2018/01/15 09:00:00+00
-604707.768126036,1222202.94569942,Toksook Bay,5.25,Nunakauiak Yupik Corporation,Jan,2018,,190,Winter,2018/01/15 09:00:00+00
-475945.642041781,1181762.44420864,Tuntutuliak,4.75,Qinarmiut Corporation,Jan,2018,,191,Winter,2018/01/15 09:00:00+00
-332652.664299918,1562728.30203533,Unalakleet,3.94,Unalakleet Native Corporation,Jan,2018,,192,Winter,2018/01/15 09:00:00+00
-821101.945279297,506511.382085757,Unalaska,3.19,Delta Western,Jan,2018,,193,Winter,2018/01/15 09:00:00+00
-334222.042316608,1300232.52489235,Upper Kalskag,5.7,City of Upper Kalskag,Jan,2018,,194,Winter,2018/01/15 09:00:00+00
-101341.337283207,2367854.79997794,Utqiagvik,,Eskimos Inc.,Jan,2018,,195,Winter,2018/01/15 09:00:00+00
409518.872278663,1262298.70131742,Valdez,3.05,North Pacific,Jan,2018,,196,Winter,2018/01/15 09:00:00+00
-227607.668616794,2305095.9767901,Wainwright,1.5,Olgoonik Corporation,Jan,2018,,197,Winter,2018/01/15 09:00:00+00
-645492.756304416,1807658.53281773,Wales,6.25,Wales Native Store,Jan,2018,,198,Winter,2018/01/15 09:00:00+00
-447479.312091524,1667267.50587921,White Mountain,3.5,White Mountain Native Store,Jan,2018,,199,Winter,2018/01/15 09:00:00+00
1306628.34428561,932518.315928681,Wrangell,2.98,Wrangell Oil,Jan,2018,,200,Winter,2018/01/15 09:00:00+00
